id,name,score,upvotes,downvotes,reports
0,enzime,1,0,3,0
1,intensitate,4,3,0,0
2,munsell,4,3,0,0
3,gri,2,2,1,0
4,luminozitate,4,3,0,0
5,culori,5,4,0,0
6,cromatica,2,1,0,2
